NodeID_SBB,NodeID,Zone_Nr,NodeName,X_Coordinate,Y_Coordinate,SID,passagierfrequenz_bezugsjahr,passagierfrequenz_dtv,passagierfrequenz_dmw
BSD,85BSD,52,Bassersdorf,689581.7,254874.9,147,01.01.14,4800,5600
DORF,85DORF,52,Dorfnest (Abzw),688317.8,255390.5,154,,0,0
BUE,85BUE,53,Bülach,682659.5,264268,150,01.01.16,14100,16500
GF,85GF,53,Glattfelden,681706.3,266991.1,170,01.01.16,1000,1200
DTL,85DTL,54,Dietlikon,689088.7,252825,156,01.01.16,8100,9500
EMB,85EMB,56,Embrach-Rorbas,686495,263949.3,161,01.01.16,0,0
KL,85KL,62,Kloten,686366.5,255943.2,191,01.01.14,5400,6300
KLB,85KLB,62,Kloten Balsberg,685389.4,255226.5,192,01.01.16,1600,1900
ZFH,85ZFH,62,Zürich Flughafen,684749.2,256117.5,302,01.01.14,43700,46600
GLB,85GLB,66,Glattbrugg,684512.8,253939.3,172,01.01.16,5900,7300
OP,85OP,66,Opfikon,684735.9,253845.5,225,01.01.16,2400,2900
RT,85RT,66,Riet (Verzw),684967.5,254851.3,241,,0,0
NGUT,85NGUT,69,Neugut,688010,251065,215,,0,0
WS,85WS,69,Wallisellen,687037.4,251962.8,289,01.01.16,13000,16200
BUD,85BUD,83,Buchs-Dällikon,675182.8,256323.9,149,01.01.16,2600,3200
DI,85DI,86,Dielsdorf,676938,259572,153,01.01.14,2300,2700
NG,85NG,89,Niederglatt,680237.5,260178.3,214,01.01.16,1300,1500
NIE,85NIE,90,Niederhasli,679150,259147,219,01.01.14,1800,2100
NW,85NW,91,Niederweningen,670131,262688,220,01.01.16,960,1100
NWD,85NWD,91,Niederweningen Dorf,671000,262110,221,01.01.16,860,1000
OGL,85OGL,92,Oberglatt,680814.1,258266.2,224,01.01.14,7700,8900
OF,85OF,94,Otelfingen,671555.9,256449.1,222,01.01.16,1300,1500
OFR,85OFR,94,Otelfingen Rietholz,672654.3,256561,223,01.01.16,580,720
REG,85REG,96,Regensdorf-Watt,677958.6,254487.2,234,01.01.14,6100,7000
RUEM,85RUEM,97,Rümlang,682508.8,256495,244,01.01.14,3400,4000
TALR,85TALR,97,Tanklager Rümlang,683797,254578,430,,0,0
SCHO,85SCHO,99,Schöfflisdorf-Oberwenigen,673327.4,261256.1,252,01.01.14,1100,1300
STMR,85STMR,101,Steinmaur,675979,260401,263,01.01.14,940,1100
AAT,85AAT,119,Aathal,700289.3,243636.4,136,01.01.16,690,750
KN,85KN,121,Kempten,703251.3,243251.9,195,01.01.14,1700,2000
WZ,85WZ,121,Wetzikon,702338.7,241678,296,01.01.14,24100,28300
KIL,85KIL,135,Kilchberg,683862,242099,190,01.01.16,2800,3300
KGO,85KGO,154,Küsnacht Goldbach,685971.1,242399.5,189,01.01.16,1600,2000
KUES,85KUES,154,Küsnacht ZH,686336.9,241548.6,198,01.01.16,5100,6100
ZK,85ZK,161,Zollikon,685483.9,243557.5,306,01.01.16,1100,1300
FET,85FET,172,Fehraltorf,699038.9,249082.4,164,01.01.16,3100,3800
EF,85EF,174,Effretikon,694164.4,253527.3,158,01.01.14,16600,19300
IL,85IL,174,Illnau,696914.9,251682.2,185,01.01.14,1900,2200
HUER,85HUER,176,Hürlistein (Abzw),692416.3,253126,182,,0,0
KE,85KE,176,Kemptthal,695542.3,256554.8,188,01.01.16,560,640
PFZ,85PFZ,177,Pfäffikon ZH,701678.9,247121.5,232,01.01.16,5200,6200
CHRI,85CHRI,191,Chriesbach,688810,250975,151,,0,0
DUE,85DUE,191,Dübendorf,689435.3,250592.7,157,01.01.16,8000,9500
SCWE,85SCWE,197,Schwerzenbach ZH,692123.2,248888.8,253,01.01.16,10100,12100
NAEN,85NAEN,198,Nänikon-Greifensee,694244.2,247251.6,213,01.01.16,4700,5600
UST,85UST,198,Uster,696717.8,245179.5,277,01.01.16,24000,28000
RAET,85RAET,219,Räterschen,702197,261763,233,01.01.16,650,740
HET,85HET,221,Hettlingen,694566,266836,176,01.01.16,0,0
HG,85HG,221,Horgen,694567,266837,177,01.01.14,7400,8900
PFU,85PFU,224,Pfungen-Neftenbach,690988.7,263510.7,231,01.01.16,1400,1700
SEU,85SEU,227,Seuzach,697900,265815,255,01.01.16,1700,1900
WD,85WD,229,Wiesendangen,700716,264725,281,01.01.14,760,880
KOL,85KOL,231,Kollbrunn,700691.9,257250.2,196,01.01.14,1300,1500
RN,85RN,231,Rikon,702400,255798.9,239,01.01.16,0,0
DT,85DT,243,Dietikon,672939.6,251000.7,155,01.01.14,19500,22700
GLZB,85GLZB,243,Glanzenberg,674115.5,250247.5,173,01.01.16,3300,3900
EINF,85EINF,247,Einfang (Abzw),677295,250283,160,,0,0
SCHL,85SCHL,247,Schlieren,676138.3,250306.3,251,01.01.14,10100,12000
URD,85URD,247,Urdorf,675205,249372,276,01.01.16,2200,2600
BD,85BD,4021,Baden,665510.4,258768.4,142,01.01.16,32700,37900
KLW,85KLW,4030,Killwangen-Spreitenbach,669071.6,254017,193,01.01.16,3800,4500
LANG,85LANG,4034,Langacher,667835,254525,200,,0,0
NHOF,85NHOF,4034,Neuenhof,667317.8,255924.4,217,01.01.14,1500,1700
WE,85WE,4045,Wettingen,666156.6,256909.1,282,01.01.14,4400,5400
WUER,85WUER,4048,Würenlos,669315.9,255402.1,292,01.01.16,920,1100
TOEM,85TOEM,23001,Tössmühle,695551.6,258888.2,268,,0,0
W,85W,23001,Winterthur,696830.8,261857.2,278,01.01.14,91500,105200
WTOE,85WTOE,23001,Winterthur Töss,695756.5,260669,291,01.01.14,630,720
WWE,85WWE,23001,Winterthur West (Abzw),696353.9,260972.9,294,,0,0
OWT,85OWT,23002,Oberwinterthur,699571,262746,229,01.01.16,4800,5700
REUT,85REUT,23002,Reutlingen,698910,265152,235,01.01.14,310,360
WGR,85WGR,23002,Winterthur Grüze,698885,261715,283,01.01.14,1700,2100
WWAL,85WWAL,23002,Winterthur Wallrüti,699592.1,263725.5,293,01.01.16,1200,1400
SKY,85SKY,23003,Sennhof-Kyburg,699648.3,257994.5,258,01.01.14,560,630
WSEE,85WSEE,23003,Winterthur Seen,700094,260477.3,290,01.01.14,2900,3400
WWUE,85WWUE,23004,Winterthur Wülflingen,693728,263450,295,01.01.14,510,610
LANT,85LANT,23004,Lantig,694654,263854,444,,0,0
ZSZU,45ZSZU,26101,Zürich HB SZU,683070,248015,13,,0,0
ZMUS,85ZMUS,26101,Zürich HB M,683226.2,248092.4,309,,0,0
ZSTH,85ZSTH,26101,Zürich Stadelhofen,683831.9,246789,312,01.01.16,71200,83300
ZSTW1,85ZSTW1,26101,Zürich Stellwerk 1,683070,248015,313,,0,0
ZSTW2,85ZSTW2,26101,Zürich Stellwerk 2,683070,248015,314,,0,0
ZUE,85ZUE,26101,Zürich HB,683188.6,248066.1,316,01.01.16,420700,466800
ZVBHF1,85ZVBHF1,26101,Zürich Velobahnhof 1,683070,248015,318,,0,0
ZVBHF2,85ZVBHF2,26101,Zürich Velobahnhof 2,683070,248015,319,,0,0
ZBRU,45ZBRU,26102,Zürich Brunau,682170,245155,7,,0,0
ZLE,45ZLE,26102,Zürich Leimbach,681700,243200,9,,0,0
ZMA,45ZMA,26102,Zürich Manegg,681700,243620,10,,0,0
ZSEL,45ZSEL,26102,Zürich Selnau,682330,246410,12,,0,0
ZEN,85ZEN,26102,Zürich Enge,682501.3,246491.2,301,01.01.14,13000,16500
ZWOL,85ZWOL,26102,Zürich Wollishofen,682737.1,244642.2,324,01.01.14,2400,2700
ZGH,45ZGH,26103,Zürich Giesshübel,681860,246370,8,,0,0
ZSAA,45ZSAA,26103,Zürich Saalsporthalle,681845,245775,11,,0,0
ZKOL,85ZKOL,26103,Zürich Kollerwiese (Spw),681602.6,246699.9,307,,0,0
ZWIE,85ZWIE,26103,Zürich Wiedikon,681935.9,247303.7,322,01.01.16,10300,12400
ZAU,85ZAU,26104,Zürich Aussersihl (Abzw.),681665.6,248121.2,299,,0,0
ZHDB,85ZHDB,26104,Zürich Hardbrücke,681434.6,248822.5,303,01.01.14,47200,56600
ZLST,85ZLST,26104,Zürich Langstrasse,682328.9,248397.1,308,,0,0
ZVB,85ZVB,26104,Zürich Vorbahnhof,681363.6,248735.2,317,,0,0
ZVBO,85ZVBO,26104,Zürich Vorbahnhof Ost,681697.8,248581.8,320,,0,0
ZHDW,85ZHDW,26104,Zürich Hardbrücke West (Spw),680414,249232,401,,0,0
HRD,85HRD,26105,Hard,680996.2,249520.4,181,,0,0
ZVIA,85ZVIA,26105,Zürich Viadukt,681015,249600,321,,0,0
ZTB,85ZTB,26108,Zürich Tiefenbrunnen,684832.5,244970.3,315,01.01.16,4400,5000
ZAS,85ZAS,26109,Zürich Altstetten,679298.8,249492.3,298,01.01.16,34500,42900
ZWIP,85ZWIP,26110,Zürich Wipkingen,682347.9,249707,323,01.01.16,2100,2400
OPSW,85OPSW,26111,Opfikon Süd,684237.1,252958,226,,0,0
ZAF,85ZAF,26111,Zürich Affoltern,680532.1,252858.8,297,01.01.16,3800,4200
ZOER,85ZOER,26111,Zürich Oerlikon,683433,251778.3,310,01.01.16,72400,85700
ZSEB,85ZSEB,26111,Zürich Seebach,683460.9,252581.5,311,01.01.14,1500,1700
STET,85STET,26112,Stettbach,687381.1,250243.5,261,01.01.14,19900,24000
RUEKM,85RUEKM,118,Rüti Kilometer,0,0,243,,0,0
WKM,85WKM,23001,Winterthur Kilometer,0,0,286,,0,0
