# zone, xcoord, ycoord
1,679529.350943586,236588.542860353
2,676538.622280319,237245.422218647
3,677694.30409542,241150.017822901
4,683127.054945638,233186.732635512
5,676558.934962979,239448.469304425
6,681219.417649652,231031.660773183
7,677552.89312608,230897.659168489
8,675005.006223487,232015.003925426
9,677620.699873292,233494.192532138
10,674428.424134828,234984.32567931
11,673447.679384347,237183.41125031
12,680277.632568164,233219.340894455
13,679643.439135058,241394.77712201
14,677942.258613535,243447.840098058
21,695420.668103946,271262.870146331
22,691300.024145495,278869.697299414
23,686877.902290059,268591.519663071
24,689487.337248777,267051.545956545
25,689090.828092636,279536.011362522
26,691154.743880032,269641.72362581
27,691078.164221912,282385.342608322
28,687753.213533149,271097.920516086
29,689959.554778177,281990.276313689
30,693025.829385693,272081.604042516
31,693700.135988017,268715.13897907
32,693043.210363508,270128.534029115
33,692675.441492409,273812.758412675
34,690489.016444912,280651.904481007
35,690181.173778957,274858.040289997
36,702610.545263354,276085.644968323
37,696423.102235515,274360.628401395
38,688374.667062178,276058.325213384
39,698318.657525636,271023.393862177
40,693616.667532209,277544.389690772
41,697056.755979789,276618.985437603
42,701509.530426668,278254.543068341
43,689636.809386109,270203.663586438
44,699754.922467581,276165.89115256
51,683397.930287008,261813.251966506
52,689898.029543602,255081.115710377
53,682990.464970311,264727.668056034
54,688783.591675036,253238.361582071
55,681820.985739104,269750.407617335
56,687307.024236163,262616.6882702
57,686307.019976669,266395.694085526
58,679602.422872351,268308.098358538
59,680597.759113287,264740.199529255
60,680143.200666712,262404.760229567
61,679713.827717013,271782.736109331
62,686461.871934526,256991.251188258
63,687032.827185212,259820.359873016
64,691283.872432567,257004.37557492
65,690079.368702157,260412.158844853
66,685500.509671109,253879.82641773
67,683071.597318047,274189.379052524
68,685065.836428323,265435.792971567
69,687253.875382769,252483.464330816
70,677718.362876047,272211.540026936
71,680709.849595857,273493.033778983
72,684393.179019771,260075.866939566
81,674591.50310773,264662.426752223
82,672993.174471792,258356.494953347
83,675304.495173035,256925.554519003
84,674963.767877343,254761.885952154
85,672946.587005547,255322.650792104
86,676570.603507951,258905.447588749
87,671739.687853921,254987.606264069
88,678100.726102189,262639.847012391
89,679887.476483619,260799.707107961
90,679287.171189225,258091.231921016
91,670551.775534442,261770.528866087
92,681813.692742037,259196.397872401
93,672870.078400648,262457.024792519
94,671729.35550626,257505.484145089
95,674634.709615411,259065.447341547
96,677897.90601874,254854.721642919
97,682264.570424079,255721.223294012
98,671841.608051377,261257.56384648
99,673870.880481052,261898.504159561
100,677664.701979452,265759.929504324
101,675704.259797669,261257.944427492
102,675347.529010272,267749.499581913
111,708338.045131092,243971.075317611
112,703639.753268215,235963.842677636
113,707074.203404751,237057.195105962
114,713561.274588502,243950.565424036
115,700582.181293216,239923.11221368
116,700107.532324682,237344.470048015
117,706944.278938617,239918.536312654
118,707995.694061909,235134.289399492
119,700432.454030185,244284.406490378
120,712129.150705584,238410.709578683
121,703260.038748323,242400.001615571
131,681865.0756031,240391.836644934
132,688011.604244426,230504.467764547
133,686767.111912046,233717.417357657
134,693050.670410396,225400.82490365
135,683516.363867564,241803.260474235
136,682576.220341543,237108.234659179
137,685726.259924921,236356.546604751
138,694562.152480461,228509.557467396
139,683810.706657748,239863.291339892
140,691041.290366006,227697.745477464
141,684759.233260152,238005.254776628
142,691901.466106023,231153.277962147
151,688365.362367193,239966.095622191
152,690118.146927881,239158.938508609
153,700674.550055879,234386.130216699
154,688720.31126322,241644.481484894
155,695452.829439682,235069.241556062
156,691832.711150905,237325.094420634
157,697222.424183605,236691.425132036
158,698045.512888224,233647.319787227
159,694064.206790704,236230.205257989
160,689755.359351524,243266.092675257
161,687363.039864173,244242.903145022
171,709143.870966035,247941.447966892
172,699010.869672548,249321.988898119
173,705036.435458458,247089.978527742
174,696387.035360866,253243.738623097
175,698780.942851108,256569.5547066
176,693806.064922102,255558.348864202
177,702355.106843436,247057.068041639
178,701839.106781201,250913.348452894
179,711410.620653268,249630.502320507
180,700690.052055204,254146.069784057
181,707334.468825693,251884.876111339
182,704708.152061944,252782.835164886
191,688982.206578834,249523.980151204
192,694970.88199179,239285.293874388
193,690405.931451313,247209.372012314
194,693834.765452744,246868.685922269
195,692305.556533371,243522.101813437
196,697134.050513225,241006.465083084
197,691913.632214535,248612.276586139
198,696930.296140648,245495.161732573
199,694437.883351278,249836.604340352
200,691114.429687139,252080.368098266
211,701225.181553826,270492.249991049
212,704943.015262677,265292.907311575
213,693003.639508688,258959.053993533
214,696875.454133881,268818.69298741
215,689124.878821989,264741.357589132
216,699681.091092459,268293.245506694
217,707452.074297565,261045.009873519
218,704266.465217742,268960.347641702
219,703163.760564251,262214.585599985
220,708227.395647013,263839.854751586
221,695419.13652343,267306.257840162
222,706798.804530784,259043.539167411
223,692445.914554157,265922.02154557
224,690686.211273161,262966.25672315
225,701974.069062037,267602.30606668
226,704669.082618058,258692.148710177
227,696941.287831532,265630.945414344
228,708711.541769056,254500.484540175
229,702376.576225358,264948.190592551
231,703332.253671883,256469.859275306
241,675155.212111804,243206.785345613
242,675248.477904566,245261.501420051
243,672435.134576075,250574.184902665
244,673443.644619827,252663.040617921
245,677537.179965189,251552.53262202
246,672367.295319014,253796.843618169
247,676265.412457088,249841.409208556
248,677074.551308272,246742.177756352
249,675360.885048346,251469.854368792
250,674290.753120684,248133.270280137
251,674833.037941698,252609.643551704
301,588166.522077945,210576.043560676
302,585256.18842096,209478.627771528
303,593749.440410705,213096.521285199
304,582991.558628248,207203.886936259
305,587723.05319847,213562.235241091
306,590723.295977581,213953.728368522
307,594499.835462442,206239.661044527
308,584236.790561054,206159.667792342
309,587088.655235548,205662.026657654
310,598322.637455517,211998.185086126
311,595137.423912165,209414.738106121
312,590466.087360575,208458.952810975
321,624600.27809173,231647.802742201
322,630088.929752512,220688.876188564
323,622100.748771726,232002.088755155
324,624118.590026299,225733.901520808
325,629620.391706469,226368.826401202
326,632593.021912411,221472.04055851
327,627382.092122524,225823.836517481
328,626800.567147199,221225.313658623
329,626963.920884136,229492.18349646
330,624870.379990814,222046.495407366
331,626785.756331828,226644.571612199
332,628235.953184368,223508.316589884
333,631652.783993216,225210.588754682
334,629307.009005106,227953.745177907
335,623309.234960034,217678.607373119
336,630620.178009424,223448.56453629
337,628742.31481648,231810.001110415
338,628232.233998523,220169.379387812
339,627646.639372373,218074.730397928
340,625193.516319591,224520.816809064
341,624846.123409311,233919.521145193
342,623324.732658056,228330.31990846
343,630713.641447051,228522.840334053
344,624701.607893737,219868.597383451
345,627751.625458484,233983.978265714
352,605706.912278623,203562.625456586
353,599759.209348165,203001.713754785
354,598262.130709201,205265.649751192
355,596888.431279761,194800.074958636
356,604677.216201701,197922.186531362
357,597755.190595096,190481.78289829
358,606355.800739789,200609.196102882
359,609892.413160186,201332.420737153
360,592773.181286619,203518.40584465
361,601049.432744628,204796.392538433
362,602729.820091375,203283.667827767
363,604331.208635819,200535.055692446
372,583487.511067906,221642.348433553
381,599661.41876433,223844.606821726
382,592356.272387304,217227.756354674
383,594847.024133564,221199.669074521
384,591076.26655967,216506.919572799
385,594329.003674354,217042.899661979
386,593176.895960581,219455.832118593
387,594486.006345254,225673.580081547
388,602121.545580849,224438.822400308
389,592644.990100996,220701.053986335
390,593484.306197156,223387.87231678
391,597936.901399269,219972.066255796
392,591615.245521314,224774.156046373
393,597926.559782544,222260.320543475
394,596716.29642118,215018.15293796
401,608413.753484074,216186.640047257
402,615558.180074407,219299.768035966
403,607095.451677611,207322.272882328
404,613712.620616894,211421.468168878
405,612571.795710703,216296.490918239
406,615551.393682124,205266.569266608
407,617639.833483564,212460.996634699
408,615905.135271369,221432.168024746
409,607950.374081802,210087.776570812
410,614776.763905555,221433.899909073
411,608447.715819991,212811.500475857
412,612625.942870017,214657.621182235
413,612447.916853812,220561.105622387
414,609409.17838614,206517.123038055
415,610634.772167484,212861.035536649
416,609935.833811889,210540.037638279
417,613452.032014354,218319.253002995
418,612763.655815581,208015.148704261
419,613049.445305917,217359.990375677
420,609872.600486889,214877.263197221
421,615607.885741476,217152.576346763
422,610921.747586509,211500.872232906
423,613373.058077498,221797.034384514
424,619227.561164544,217018.625759485
431,577264.517748043,226714.75877117
432,570301.332653631,223825.638133585
433,575172.988908048,225025.451177255
434,572256.939185866,225118.272505543
435,559166.476506776,221518.566543827
436,583280.476180856,226555.919322683
437,571674.975806031,228850.891438407
438,581384.454006864,222834.361450967
439,586713.075169914,227539.98830424
440,587914.077813516,226422.105649752
441,559371.431866731,217878.554972227
442,591829.078233714,227422.477814882
443,565933.217465127,222397.530468066
444,580284.66974809,226761.796503674
445,563107.175534675,221363.139743299
446,574111.094704441,230756.821771643
447,589364.937260736,226058.184694686
448,568337.350809628,223367.527035524
491,578148.687566676,208148.861709719
492,573631.409369034,209508.294082103
493,580273.595548313,207764.132192147
494,571210.146413598,209366.673244607
495,570911.06225701,206165.77759004
496,574288.840006355,205287.124003698
497,579056.084866121,210311.890166642
498,577772.997101,204917.697085959
499,581555.185933626,209080.559803479
500,579157.079482578,206220.389756799
501,572550.887356075,208139.434320347
502,575725.2268372,209117.122306929
531,602784.022876328,209984.462691721
532,600638.215845503,211699.516464149
533,606922.354201971,220662.437337555
534,605537.350610109,216248.241172454
535,601117.12894308,209572.464703265
536,598621.376442473,207669.473666507
537,603190.554280335,214725.534814793
538,606987.76124146,215323.804618381
539,605232.568245882,213877.033645707
540,604932.690296604,211238.581736996
541,602918.576751507,212676.15426608
542,604562.531670564,217686.154955892
543,606225.017342901,208023.166914607
544,603555.828115103,206598.972176103
545,602844.435497736,216707.621872483
546,600755.752465237,207453.680246
547,606557.37600449,210823.100158008
548,599148.464584517,215516.703775847
549,606573.162503775,217868.291461004
550,601236.600186394,213280.16704803
551,604644.779003023,207916.137338726
552,609477.014548601,219221.773260107
553,602467.057248691,208924.044938302
554,609067.892926463,222433.171032704
555,607108.71042479,213326.818376602
556,610186.149564691,223008.757688072
557,602178.539946382,210975.25024698
561,608954.76073851,146897.985381955
562,623743.712038566,163631.434239869
563,613622.913109041,156338.90638643
564,618276.59487836,153902.913910312
565,620712.780283871,146470.923714068
566,623089.265105802,166595.69838448
567,622880.43851866,158266.486431634
571,627971.692915422,173795.471255731
572,637151.935410527,169972.697136872
573,645853.060193506,175757.60974168
574,650141.941526871,175673.514739774
575,628649.125874178,166966.918536114
576,646894.616495166,163270.459029963
577,634475.359004373,166875.590414119
578,637893.697389076,166868.149983243
579,634482.033172024,178305.477816538
580,648982.360155932,179719.332645506
581,632616.822954266,170753.028601272
582,642253.869785503,172240.387164078
584,634897.733958222,155686.823499596
585,626101.50025873,165691.818357906
586,639308.898217534,165978.130171179
587,633310.075978957,169230.519460639
588,637216.306318341,175032.464306152
589,639636.54880191,178521.031098832
590,634536.582772789,173134.354192745
591,629778.93449638,163832.564511668
592,647128.111562435,180174.339660283
593,630795.839000645,171633.600684273
594,632708.118868504,166147.755609654
601,616279.517576209,186867.17492932
602,616677.910830728,198276.975940626
603,614320.900942999,197428.207923384
604,615331.832261127,185067.567476362
605,620013.414005386,193149.105960309
606,613572.091577264,184871.224577714
607,614779.592476075,190268.618693218
608,614768.723524355,194949.423082787
609,612670.35238292,189691.647859431
610,613148.267530268,186233.505232912
611,610785.583908309,184620.664563047
612,612918.246835986,192843.43962694
613,618322.349746664,200502.723596519
614,618932.328503041,188619.441174499
615,616129.895184034,193407.272481895
616,609317.74242888,191671.301263124
617,615850.914200305,191131.531418179
618,610615.581719709,189020.761971207
619,614407.633225225,187958.081163698
620,618240.116152569,196393.526892777
621,610874.655869012,187426.055529949
622,612055.054309422,185126.053286235
623,608095.487012175,194293.484144361
624,613256.26868827,195271.91147622
625,611322.462701524,191264.175353913
626,614363.452181491,201084.70499255
627,610062.366904323,197356.108102478
628,617445.535083032,193866.428403362
629,617672.025504846,191191.43664166
630,606277.714110929,196188.846144564
631,610533.903383372,194653.449464817
661,573566.321042551,194118.07817282
662,583713.739520168,199130.122787495
663,591992.457289233,200480.671937932
664,585198.90536681,204067.911124191
665,582875.785178844,201597.53636305
666,583030.676985851,195586.945360811
667,585050.057432378,195465.923723904
668,587308.165063262,199513.238464746
669,576142.056180431,195600.243146027
670,589291.773240452,195119.230907285
671,584766.808466745,202353.654137145
681,597390.802649642,237737.43843397
682,588401.863811621,231163.700430209
683,590110.189921992,234448.618891723
684,580827.318920012,235463.069766469
687,602580.587281332,237794.738111596
690,593986.134451418,232095.365471614
691,601011.870715353,237157.814364586
692,597648.230585686,234954.164727194
694,599196.393278843,236969.75715438
696,585045.900989945,232225.894224109
697,586958.570851597,231915.765106151
699,581900.707934711,236559.014386341
700,594178.109668138,236280.209060882
701,590950.459715946,236360.233327794
702,586042.709880733,233232.626747531
703,583664.296523632,230661.424459558
704,595661.54194288,239212.559370022
706,580024.888257155,233513.89556517
707,583609.024258306,233616.72814673
708,608474.447537847,242211.572694438
709,606221.14887899,239151.803977185
710,583271.617456465,235772.184068187
711,590078.836859105,231179.590480796
712,586467.718480237,235980.546546578
713,580695.781445849,230075.173284412
715,580900.520053951,237703.150207911
721,575672.685568308,218846.670269745
722,578526.770337174,219611.531634985
723,574402.741706484,213865.368128566
724,573036.256233549,219194.626849197
725,575454.60113897,216057.702827885
731,588348.978766962,218475.651814293
732,585160.97444909,216894.665510324
733,587814.186594663,219699.743828459
734,585407.443223145,212899.378032022
735,583402.106495672,213286.648199167
736,580938.535389333,211328.895052831
737,584972.992144894,214512.107763525
738,587131.29467996,216356.13715192
739,584302.535900435,218248.725969101
740,577345.23613846,215737.152977509
741,585960.931245256,215157.537094414
742,582784.180698837,214825.701949983
743,584995.589725113,219276.930783339
744,589720.64914626,221214.598819498
745,586362.983242549,218134.998379847
746,591152.002982417,222376.889056761
747,591527.310187589,220157.506919524
748,590792.212866631,219217.344762883
749,589690.532743702,217963.061101948
750,583412.630623147,216391.716923178
751,581707.193915676,212711.262674445
752,581595.413146478,219067.014395378
753,578881.389278124,216977.573315031
754,583679.262709795,211261.533436384
755,589209.39516375,216649.107017756
761,603800.524893311,168971.816361011
762,607031.16614081,159894.041979959
763,607720.436036629,167714.77337939
764,610138.426211384,172331.124674593
765,608533.619177918,172846.741307125
766,599470.282547969,167184.629843323
767,612754.28534748,171281.632030186
768,617753.552698545,170616.967094573
769,615535.712188365,167825.722989928
781,671654.889093761,173760.67584654
782,662765.872324287,160906.829015753
783,660346.035620291,177559.978610238
784,661097.040679267,169251.845101407
785,653191.347810189,174385.365580935
786,655939.051239774,171698.390406088
791,593773.799892403,161484.239637858
792,601369.554419198,141522.6861968
793,599050.702140894,150220.441110608
794,595490.542949462,155335.368821878
841,585696.272026773,137037.35788779
842,592310.651240301,138528.588253104
843,588465.164484008,147802.660251331
851,591171.320360434,188615.563775908
852,592800.44286084,176346.296479098
853,597504.202116042,177154.364315708
854,593797.364290536,185344.92032512
861,605190.54351579,193512.217796781
862,606252.593427163,190623.559890451
863,604933.722761962,182323.206284208
864,601779.821583393,193640.580147628
865,605883.409566364,188077.560152861
866,607889.623011817,188373.801970444
867,607424.951373499,180475.498707037
868,609705.239495611,185377.412255018
869,604413.23711934,187604.382932489
870,602507.212318515,195668.056133774
871,609298.014102604,183137.856269816
872,608156.245272618,185108.204095107
873,605113.479930914,185916.536438421
874,605681.240830636,183943.399352812
875,606998.270303272,186311.316042699
876,605468.835871962,184987.759627482
877,601765.78390778,189612.087653692
878,608116.678598964,183507.018104309
879,602356.289960952,184129.327603124
880,599485.886654369,184914.809884107
881,603816.828639264,186303.603598886
882,601407.54900152,180246.574299139
883,607676.003823171,182138.92466814
884,604097.208921283,189748.562182478
885,610510.308056416,182539.508559459
886,604132.745862591,178685.036008732
887,601464.973787104,191761.749290867
