fromZone, toZone,distance
1,1,3222
1,2,3300.5
1,3,9766.738
1,5,6581.429
1,13,8200.107
1,14,13775.361
1,21,70055.735
1,23,69971.197
1,24,67790.291
1,26,69652.346
1,28,71525.89
1,30,68260.19
1,31,64473.779
1,32,67793.448
1,33,67458.202
1,37,71852.347
1,39,69480.907
1,43,71769.054
1,51,50641.54
1,52,39878.222
1,53,49116.49
1,54,36404.969
1,55,54072.447
1,56,49645.005
1,57,54757.055
1,58,53392.858
1,59,51465.736
1,60,52056.876
1,61,60519.653
1,62,37764.445
1,63,43364.416
1,64,43085.22
1,65,46616.769
1,66,34644.079
1,67,58943.894
1,68,51015.265
1,69,34966.276
1,70,60151.854
1,71,59689.772
1,72,46184.629
1,81,50986.203
1,82,45454.529
1,83,42925.301
1,84,42713.324
1,85,45317.473
1,86,44645.151
1,87,46477.192
1,88,47386.056
1,89,42616.583
1,90,41304.161
1,91,51286.117
1,92,40406.154
1,93,48817.601
1,94,46584.88
1,95,46328.694
1,96,39573.736
1,97,37777.764
1,98,50938.68
1,99,48824.511
1,100,52323.621
1,101,45970.522
1,102,60752.906
1,111,63674.276
1,112,61999.3
1,113,66610.181
1,115,60050.67
1,116,62140.646
1,117,60907.826
1,119,51161.644
1,121,56031.993
1,131,34531.872
1,133,30977.895
1,135,25103.226
1,136,18188.282
1,137,31747.716
1,139,26618.665
1,141,29794.427
1,151,38151.199
1,152,41254.677
1,153,66804.362
1,154,36432.082
1,156,43796.445
1,157,61211.387
1,160,38697.652
1,161,34068.153
1,171,78879.289
1,172,52826.091
1,173,59616.71
1,174,44936.131
1,175,66936.869
1,176,50683.83
1,177,59188.305
1,178,56972.337
1,180,55882.67
1,181,83641.516
1,182,62474.461
1,191,37022.926
1,192,46076.791
1,193,37956.554
1,194,47629.904
1,195,38599.904
1,196,58362.059
1,197,43659.718
1,198,49195.089
1,199,46254.193
1,200,36440.547
1,211,67095.231
1,212,63799.607
1,213,53490.561
1,214,63104.716
1,215,64089.772
1,216,62259.539
1,217,64110.822
1,218,63470.655
1,219,58434.478
1,220,80212.721
1,221,61562.698
1,222,67442.932
1,223,59053.062
1,224,57444.303
1,225,62995.244
1,226,64790.582
1,227,57840.162
1,228,76710.89
1,229,57614.667
1,231,72978.929
1,241,18958.969
1,242,16163.768
1,243,30973.454
1,244,30762.249
1,245,25720.585
1,246,34761.905
1,247,27790.966
1,248,13318.142
1,249,26908.988
1,250,19018.637
1,251,28328.931
1,2933,64720.277
1,2938,64591.048
1,4021,44052.742
1,4022,31442.213
1,4023,32509.629
1,4024,49082.554
1,4026,43686.539
1,4027,43663.355
1,4028,51949.37
1,4029,50751.512
1,4030,36304.918
1,4031,29088.407
1,4033,40110.703
1,4034,39370.434
1,4035,44402.688
1,4036,49869.476
1,4037,42914.588
1,4038,46290.052
1,4039,35113.319
1,4040,37667.929
1,4041,38145.782
1,4042,47846.85
1,4043,50693.678
1,4044,49857.596
1,4045,44503.425
1,4046,42838.622
1,4048,49259.7
1,4061,17805.71
1,4062,23995.52
1,4066,26562.226
1,4067,32743.845
1,4072,36382.829
1,4074,20898.403
1,4075,35530.554
1,4077,38568.79
1,4081,26333.899
1,4083,26655
1,4084,12807.297
1,4093,55744.561
1,4107,54770.098
1,4123,52108.839
1,4301,77209.988
1,4302,76035.9
1,4305,57789.861
1,4306,66023.106
1,4308,62384.898
1,4312,53612.463
1,4314,67608.583
1,4315,70030.15
1,4317,65467.714
1,4318,53776.97
1,4319,59566.271
1,4321,60473.11
1,4322,61587.341
1,4571,66494.347
1,4601,81648.181
1,23001,56042.992
1,23002,55501.686
1,23003,58330.523
1,23004,61254.535
1,26101,27785.89
1,26102,17727.821
1,26103,16298.529
1,26104,24458.852
1,26105,27336.822
1,26106,30968.319
1,26107,30907.218
1,26108,31119.317
1,26109,19077.412
1,26110,27584.72
1,26111,31121.969
1,26112,35929.007
2,1,3300.5
2,2,2691
2,3,6531.314
2,5,2701.885
2,13,15026.284
2,14,8692.039
2,21,69335.001
2,23,70835.593
2,24,68472.352
2,26,67957.856
2,28,70700.423
2,30,66374.505
2,31,63383.922
2,32,66095.919
2,33,69173.683
2,37,72199.361
2,39,69823.81
2,43,70084.595
2,51,47450.202
2,52,36886
2,53,45510.491
2,54,35312.168
2,55,50770.066
2,56,47012.49
2,57,51889.045
2,58,49729.687
2,59,47926.133
2,60,48426.129
2,61,56752.002
2,62,34028.322
2,63,40899.396
2,64,40478.71
2,65,44555.255
2,66,30621.438
2,67,55553.708
2,68,49401.094
2,69,33325.422
2,70,56475.834
2,71,56010.144
2,72,42938.727
2,81,47436.547
2,82,41650
2,83,39110
2,84,38914
2,85,41524
2,86,40851
2,87,42688
2,88,44234.01
2,89,38986.01
2,90,37625.022
2,91,47522.035
2,92,36543.802
2,93,45042.669
2,94,42775
2,95,42709.632
2,96,35745
2,97,33935
2,98,47047.911
2,99,45042.666
2,100,48426.203
2,101,42180.661
2,102,56260.622
2,111,59943.888
2,112,58226
2,113,62602.474
2,115,56395.255
2,116,58256.918
2,117,58006.868
2,119,51058.075
2,121,52373
2,131,33707.005
2,133,33774.767
2,135,26538.884
2,136,27478.018
2,137,30553.144
2,139,28347.082
2,141,34166.159
2,151,35125.5
2,152,38272.5
2,153,63628.433
2,154,33390.5
2,156,41115.5
2,157,57501.397
2,160,35872
2,161,31188.5
2,171,74589.869
2,172,50358.025
2,173,57636.246
2,174,42158.249
2,175,62399.247
2,176,50625.514
2,177,56497.804
2,178,55358.193
2,180,55637.702
2,181,77295.435
2,182,61165.872
2,191,33473.799
2,192,44930.622
2,193,35964.395
2,194,44757.586
2,195,37029.823
2,196,54687.021
2,197,39850.734
2,198,45545
2,199,42632.364
2,200,35309.512
2,211,67614.433
2,212,64130.739
2,213,52700.456
2,214,64374.571
2,215,64157.443
2,216,62990.366
2,217,64510.795
2,218,64076.981
2,219,58821.084
2,220,76982.02
2,221,60943.118
2,222,69962.728
2,223,59494.866
2,224,53852.882
2,225,63863.094
2,226,68132.744
2,227,59456.068
2,228,73885.486
2,229,57888.628
2,231,70987.456
2,241,15151.838
2,242,12116
2,243,27512
2,244,28513.038
2,245,23328.5
2,246,30700
2,247,23942
2,248,16518.329
2,249,24532.5
2,250,14926
2,251,25980.5
2,2933,60908.445
2,2938,63045.249
2,4021,40375.376
2,4022,25762.428
2,4023,29415
2,4024,45220.533
2,4026,41254.848
2,4027,42496.533
2,4028,48618.294
2,4029,46501.535
2,4030,32484
2,4031,28407.155
2,4033,38495.247
2,4034,35258.296
2,4035,42133.548
2,4036,46952.94
2,4037,40685.077
2,4038,42898.025
2,4039,28865.702
2,4040,33910
2,4041,36562.481
2,4042,43859.87
2,4043,48111.699
2,4044,45683.375
2,4045,39180.581
2,4046,41327.4
2,4048,45580.386
2,4061,15771.542
2,4062,19789
2,4066,25762.236
2,4067,31285.304
2,4072,33553.185
2,4074,17001
2,4075,30869.928
2,4077,38291.704
2,4081,21939.368
2,4083,21861.72
2,4084,9632
2,4093,54511.878
2,4107,53656.549
2,4123,50183.479
2,4301,74902.8
2,4302,73699.181
2,4305,55223.811
2,4306,61891.899
2,4308,58137.283
2,4312,51052.773
2,4314,63613.5
2,4315,68266.711
2,4317,61573.448
2,4318,49950.174
2,4319,55793.658
2,4321,58502.741
2,4322,57877.534
2,4571,67052.22
2,4601,78493.148
2,23001,53026.295
2,23002,54241.22
2,23003,56334.334
2,23004,58735.036
2,26101,25050.714
2,26102,16590.311
2,26103,21696.274
2,26104,23597.659
2,26105,23642
2,26106,28464.37
2,26107,27352
2,26108,27390
2,26109,20561.837
2,26110,24408.33
2,26111,28104.064
2,26112,33159.114
3,1,9766.738
3,2,6531.314
3,3,1578
3,5,4033.261
3,13,6767.679
3,14,1763.925
3,21,62536.386
3,23,64055.909
3,24,61665.884
3,26,61178.23
3,28,63926.02
3,30,59598.263
3,31,56606.642
3,32,59317.84
3,33,62376.781
3,37,65429.847
3,39,63046.827
3,43,63306.387
3,51,40682.986
3,52,30108
3,53,38741.487
3,54,28540.054
3,55,43981.837
3,56,40255.136
3,57,45111.289
3,58,42947.581
3,59,41151.436
3,60,41655.418
3,61,49964.598
3,62,27243.358
3,63,34105.149
3,64,33700.052
3,65,37765.493
3,66,23843.461
3,67,48767.315
3,68,42623.374
3,69,26558.846
3,70,49682.14
3,71,49212.837
3,72,36159.649
3,81,40658.392
3,82,34872
3,83,32332
3,84,32136
3,85,34746
3,86,34073
3,87,35910
3,88,37415.368
3,89,32204.314
3,90,30854.177
3,91,40743.93
3,92,29765.392
3,93,38264.667
3,94,35997
3,95,35931.286
3,96,28967
3,97,27157
3,98,40269.525
3,99,38264.663
3,100,41635.264
3,101,35402.658
3,102,49499.506
3,111,53165.766
3,112,51448
3,113,55823.328
3,115,49617.252
3,116,51494.489
3,117,51228.958
3,119,44277.02
3,121,45595
3,131,27786
3,133,33764.891
3,135,21051.904
3,136,30233.05
3,137,27900.764
3,139,22944.494
3,141,28406.764
3,151,28347.5
3,152,31494.5
3,153,56854.057
3,154,26612.5
3,156,34337.5
3,157,50705.944
3,160,29094
3,161,24410.5
3,171,67924.216
3,172,43557.197
3,173,50859.966
3,174,35386.891
3,175,55493.451
3,176,43782.366
3,177,49726.803
3,178,48567.583
3,180,48810.783
3,181,70540.367
3,182,54373.889
3,191,26681.04
3,192,38101.773
3,193,29459.54
3,194,37939.136
3,195,30411.585
3,196,47910.704
3,197,33064.349
3,198,38767
3,199,35849.64
3,200,28532.625
3,211,60831.216
3,212,57343.008
3,213,45940.745
3,214,57594.887
3,215,57358.56
3,216,56211.877
3,217,57733.418
3,218,57294.212
3,219,52043.74
3,220,70199.866
3,221,54165.548
3,222,63184.699
3,223,52723.414
3,224,47079.824
3,225,57089.874
3,226,61344.47
3,227,52672.849
3,228,67118.754
3,229,51100.257
3,231,64115.398
3,241,8481.337
3,242,5343.198
3,243,20734
3,244,21723.69
3,245,16550.5
3,246,23922
3,247,17164
3,248,8179.739
3,249,17754.5
3,250,8148
3,251,19202.5
3,2933,54129.952
3,2938,56197.689
3,4021,33550.628
3,4022,18966.809
3,4023,22637
3,4024,38400.321
3,4026,34463.702
3,4027,36381.799
3,4028,41841.035
3,4029,39711.797
3,4030,25706
3,4031,27769.508
3,4033,33275.16
3,4034,28478.607
3,4035,37066.992
3,4036,40180.803
3,4037,33891.709
3,4038,36104.917
3,4039,22174.21
3,4040,27132
3,4041,36034.542
3,4042,37082.184
3,4043,41332.813
3,4044,38888.821
3,4045,32358.383
3,4046,34551.419
3,4048,38767.732
3,4061,9613.735
3,4062,13011
3,4066,24945.389
3,4067,29621.305
3,4072,32404.687
3,4074,10223
3,4075,24087.997
3,4077,33910.905
3,4081,15189.902
3,4083,17909.336
3,4084,2854
3,4093,48787.623
3,4107,47270.44
3,4123,43401.371
3,4301,68126.846
3,4302,66920.196
3,4305,48444.601
3,4306,55115.733
3,4308,51339.893
3,4312,44280.32
3,4314,56835.5
3,4315,61450.185
3,4317,54802.866
3,4318,43148.01
3,4319,49008.778
