# fromZone, toZone, priority, desired dep time, group_size
1,2,1.000000,2005-05-10T06:20,1
1,2,1.000000,2005-05-10T06:50,2
1,2,1.000000,2005-05-10T07:00,1
1,2,1.000000,2005-05-10T07:10,2
1,2,1.000000,2005-05-10T07:20,1
1,2,1.000000,2005-05-10T07:30,3
1,2,1.000000,2005-05-10T07:40,4
1,2,1.000000,2005-05-10T07:50,2
1,3,1.000000,2005-05-10T06:30,1
1,3,1.000000,2005-05-10T07:20,1
1,3,1.000000,2005-05-10T08:00,1
1,5,1.000000,2005-05-10T07:10,1
1,13,1.000000,2005-05-10T07:30,1
1,13,1.000000,2005-05-10T07:50,1
1,96,1.000000,2005-05-10T06:20,1
1,121,1.000000,2005-05-10T07:00,1
1,191,1.000000,2005-05-10T07:50,1
1,195,1.000000,2005-05-10T07:30,1
1,196,1.000000,2005-05-10T06:50,1
1,242,1.000000,2005-05-10T07:20,1
1,242,1.000000,2005-05-10T07:50,2
1,247,1.000000,2005-05-10T08:00,1
1,250,1.000000,2005-05-10T06:10,1
1,250,1.000000,2005-05-10T08:00,1
1,23001,1.000000,2005-05-10T06:10,1
1,26101,1.000000,2005-05-10T07:20,1
1,26101,1.000000,2005-05-10T07:40,1
1,26103,1.000000,2005-05-10T06:30,1
1,26103,1.000000,2005-05-10T06:40,1
1,26103,1.000000,2005-05-10T07:30,1
1,26103,1.000000,2005-05-10T08:00,1
1,26104,1.000000,2005-05-10T07:10,2
1,26104,1.000000,2005-05-10T07:40,1
1,26104,1.000000,2005-05-10T08:00,1
1,26105,1.000000,2005-05-10T07:00,1
1,26105,1.000000,2005-05-10T07:10,1
1,26107,1.000000,2005-05-10T06:20,1
1,26109,1.000000,2005-05-10T06:20,3
1,26109,1.000000,2005-05-10T06:40,1
1,26109,1.000000,2005-05-10T06:50,1
1,26109,1.000000,2005-05-10T07:10,1
1,26112,1.000000,2005-05-10T06:50,1
2,1,1.000000,2005-05-10T06:10,1
2,1,1.000000,2005-05-10T06:30,1
2,1,1.000000,2005-05-10T06:40,1
2,1,1.000000,2005-05-10T06:50,1
2,1,1.000000,2005-05-10T07:00,1
2,1,1.000000,2005-05-10T07:10,3
2,1,1.000000,2005-05-10T07:20,2
2,1,1.000000,2005-05-10T07:40,3
2,1,1.000000,2005-05-10T07:50,3
2,1,1.000000,2005-05-10T08:00,3
2,3,1.000000,2005-05-10T06:10,1
2,3,1.000000,2005-05-10T06:20,1
2,3,1.000000,2005-05-10T06:30,1
2,3,1.000000,2005-05-10T07:00,1
2,3,1.000000,2005-05-10T07:10,2
2,3,1.000000,2005-05-10T07:20,2
2,3,1.000000,2005-05-10T07:30,3
2,3,1.000000,2005-05-10T07:40,6
2,3,1.000000,2005-05-10T07:50,2
2,5,1.000000,2005-05-10T06:10,2
2,5,1.000000,2005-05-10T06:20,2
2,5,1.000000,2005-05-10T06:30,2
2,5,1.000000,2005-05-10T06:40,3
2,5,1.000000,2005-05-10T06:50,1
2,5,1.000000,2005-05-10T07:00,1
2,5,1.000000,2005-05-10T07:10,1
2,5,1.000000,2005-05-10T07:20,3
2,5,1.000000,2005-05-10T07:30,1
2,5,1.000000,2005-05-10T07:40,4
2,5,1.000000,2005-05-10T07:50,6
2,5,1.000000,2005-05-10T08:00,1
2,13,1.000000,2005-05-10T06:50,1
2,13,1.000000,2005-05-10T07:10,1
2,13,1.000000,2005-05-10T07:50,1
2,14,1.000000,2005-05-10T07:00,1
2,14,1.000000,2005-05-10T07:10,3
2,14,1.000000,2005-05-10T07:20,3
2,14,1.000000,2005-05-10T07:30,2
2,14,1.000000,2005-05-10T07:40,1
2,14,1.000000,2005-05-10T08:00,2
2,51,1.000000,2005-05-10T06:20,2
2,51,1.000000,2005-05-10T06:40,1
2,52,1.000000,2005-05-10T06:20,1
2,53,1.000000,2005-05-10T07:00,1
2,54,1.000000,2005-05-10T07:00,1
2,54,1.000000,2005-05-10T07:20,2
2,56,1.000000,2005-05-10T06:40,1
2,60,1.000000,2005-05-10T07:50,1
2,62,1.000000,2005-05-10T06:40,1
2,62,1.000000,2005-05-10T06:50,2
2,62,1.000000,2005-05-10T07:00,1
2,66,1.000000,2005-05-10T06:10,1
2,66,1.000000,2005-05-10T06:20,2
2,66,1.000000,2005-05-10T06:30,1
2,66,1.000000,2005-05-10T06:50,1
2,66,1.000000,2005-05-10T07:10,1
2,66,1.000000,2005-05-10T07:50,1
2,67,1.000000,2005-05-10T06:50,1
2,69,1.000000,2005-05-10T07:00,1
2,69,1.000000,2005-05-10T07:40,1
2,69,1.000000,2005-05-10T07:50,1
2,83,1.000000,2005-05-10T07:00,1
2,84,1.000000,2005-05-10T06:20,1
2,86,1.000000,2005-05-10T06:40,1
2,90,1.000000,2005-05-10T07:20,1
2,93,1.000000,2005-05-10T07:10,1
2,93,1.000000,2005-05-10T07:40,1
2,94,1.000000,2005-05-10T06:40,1
2,96,1.000000,2005-05-10T06:20,1
2,96,1.000000,2005-05-10T07:00,1
2,97,1.000000,2005-05-10T07:00,1
2,97,1.000000,2005-05-10T07:40,1
2,101,1.000000,2005-05-10T07:20,1
2,102,1.000000,2005-05-10T06:50,1
2,112,1.000000,2005-05-10T07:10,1
2,117,1.000000,2005-05-10T06:30,1
2,117,1.000000,2005-05-10T07:20,1
2,121,1.000000,2005-05-10T06:10,1
2,121,1.000000,2005-05-10T06:40,1
2,121,1.000000,2005-05-10T07:00,2
2,121,1.000000,2005-05-10T07:40,1
2,121,1.000000,2005-05-10T07:50,1
2,133,1.000000,2005-05-10T06:30,1
2,133,1.000000,2005-05-10T07:30,1
2,135,1.000000,2005-05-10T06:50,1
2,135,1.000000,2005-05-10T07:40,1
2,135,1.000000,2005-05-10T08:00,1
2,137,1.000000,2005-05-10T08:00,1
2,141,1.000000,2005-05-10T06:20,1
2,141,1.000000,2005-05-10T06:40,1
2,141,1.000000,2005-05-10T06:50,1
2,141,1.000000,2005-05-10T07:00,1
2,141,1.000000,2005-05-10T07:10,1
2,141,1.000000,2005-05-10T08:00,1
2,151,1.000000,2005-05-10T06:20,1
2,152,1.000000,2005-05-10T06:20,2
2,154,1.000000,2005-05-10T07:20,1
2,156,1.000000,2005-05-10T06:40,1
2,156,1.000000,2005-05-10T06:50,1
2,156,1.000000,2005-05-10T07:10,1
2,156,1.000000,2005-05-10T07:20,1
2,156,1.000000,2005-05-10T08:00,1
2,161,1.000000,2005-05-10T06:10,1
2,161,1.000000,2005-05-10T06:50,1
2,178,1.000000,2005-05-10T06:40,1
2,191,1.000000,2005-05-10T06:10,2
2,191,1.000000,2005-05-10T06:20,2
2,191,1.000000,2005-05-10T06:30,2
2,191,1.000000,2005-05-10T06:50,2
2,191,1.000000,2005-05-10T07:00,1
2,191,1.000000,2005-05-10T07:10,1
2,191,1.000000,2005-05-10T07:20,2
2,191,1.000000,2005-05-10T07:40,1
2,191,1.000000,2005-05-10T07:50,1
2,192,1.000000,2005-05-10T06:40,1
2,192,1.000000,2005-05-10T06:50,1
2,194,1.000000,2005-05-10T06:50,1
2,195,1.000000,2005-05-10T06:30,1
2,195,1.000000,2005-05-10T07:50,1
2,197,1.000000,2005-05-10T06:10,1
2,197,1.000000,2005-05-10T06:50,1
2,197,1.000000,2005-05-10T07:00,1
2,198,1.000000,2005-05-10T06:20,3
2,198,1.000000,2005-05-10T06:30,2
2,198,1.000000,2005-05-10T07:00,3
2,199,1.000000,2005-05-10T06:20,1
2,199,1.000000,2005-05-10T06:30,1
2,199,1.000000,2005-05-10T07:50,1
2,200,1.000000,2005-05-10T08:00,1
2,227,1.000000,2005-05-10T06:20,1
2,241,1.000000,2005-05-10T07:10,1
2,242,1.000000,2005-05-10T06:10,1
2,242,1.000000,2005-05-10T06:20,1
2,242,1.000000,2005-05-10T06:40,1
2,242,1.000000,2005-05-10T06:50,2
2,242,1.000000,2005-05-10T07:10,2
2,243,1.000000,2005-05-10T06:20,1
2,243,1.000000,2005-05-10T06:50,1
2,243,1.000000,2005-05-10T07:30,1
2,243,1.000000,2005-05-10T07:50,3
2,244,1.000000,2005-05-10T07:20,1
2,244,1.000000,2005-05-10T07:30,1
2,245,1.000000,2005-05-10T07:00,1
2,246,1.000000,2005-05-10T07:10,1
2,247,1.000000,2005-05-10T06:10,1
2,247,1.000000,2005-05-10T06:40,1
2,247,1.000000,2005-05-10T07:20,1
2,247,1.000000,2005-05-10T07:30,1
2,247,1.000000,2005-05-10T07:40,1
2,247,1.000000,2005-05-10T07:50,1
2,248,1.000000,2005-05-10T06:20,1
2,250,1.000000,2005-05-10T06:10,2
2,250,1.000000,2005-05-10T06:30,2
2,250,1.000000,2005-05-10T06:50,1
2,250,1.000000,2005-05-10T07:00,2
2,250,1.000000,2005-05-10T07:20,3
2,250,1.000000,2005-05-10T07:30,2
2,250,1.000000,2005-05-10T07:40,1
2,251,1.000000,2005-05-10T06:40,1
2,4021,1.000000,2005-05-10T06:20,3
2,4021,1.000000,2005-05-10T07:40,1
2,4023,1.000000,2005-05-10T07:00,1
2,4026,1.000000,2005-05-10T06:30,1
2,4029,1.000000,2005-05-10T06:30,1
2,4030,1.000000,2005-05-10T06:20,1
2,4030,1.000000,2005-05-10T07:40,1
2,4037,1.000000,2005-05-10T07:10,1
2,4040,1.000000,2005-05-10T06:20,1
