((663, '2005-05-10T07:45:00', 116314, 'a'), (663, '2005-05-10T07:45:30', 116314, 'd'))
((663, '2005-05-10T07:45:00', 116314, 'a'), (663, '2005-05-10T07:59:48', 11975770, 'd'))
((663, '2005-05-10T07:45:00', 116314, 'a'), (663, '2005-05-10T07:53:54', 9103837, 'd'))
((611, '2005-05-10T07:48:30', 116678, 'a'), (611, '2005-05-10T07:49:30', 116678, 'd'))
((611, '2005-05-10T07:48:30', 116678, 'a'), (611, '2005-05-10T07:57:18', 11975406, 'd'))
((611, '2005-05-10T07:48:30', 116678, 'a'), (611, '2005-05-10T07:57:36', 3989844, 'd'))
((611, '2005-05-10T07:48:30', 116678, 'a'), (611, '2005-05-10T07:57:36', 5851032, 'd'))
((611, '2005-05-10T07:48:30', 116678, 'a'), (611, '2005-05-10T07:59:06', 9104201, 'd'))
((538, '2005-05-10T07:52:00', 117042, 'a'), (538, '2005-05-10T07:52:36', 117042, 'd'))
((538, '2005-05-10T07:52:00', 117042, 'a'), (538, '2005-05-10T07:57:24', 7642881, 'd'))
((203, '2005-05-10T07:54:54', 117770, 'a'), (203, '2005-05-10T07:55:30', 117770, 'd'))
((439, '2005-05-10T07:59:00', 118134, 'a'), (439, '2005-05-10T07:59:30', 118134, 'd'))
((520, '2005-05-10T06:14:00', 208408, 'a'), (520, '2005-05-10T06:14:30', 208408, 'd'))
((498, '2005-05-10T06:19:06', 208772, 'a'), (498, '2005-05-10T06:28:18', 1078384, 'd'))
((498, '2005-05-10T06:19:06', 208772, 'a'), (498, '2005-05-10T06:25:30', 2947858, 'd'))
((498, '2005-05-10T06:19:06', 208772, 'a'), (498, '2005-05-10T06:26:00', 10508708, 'd'))
((520, '2005-05-10T07:14:00', 209864, 'a'), (520, '2005-05-10T07:14:30', 209864, 'd'))
((498, '2005-05-10T07:19:06', 210228, 'a'), (498, '2005-05-10T07:28:18', 1088212, 'd'))
((498, '2005-05-10T07:19:06', 210228, 'a'), (498, '2005-05-10T07:25:30', 2958414, 'd'))
((498, '2005-05-10T07:19:06', 210228, 'a'), (498, '2005-05-10T07:26:00', 10516310, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (633, '2005-05-10T07:10:00', 1617884, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (633, '2005-05-10T07:08:00', 10331879, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (633, '2005-05-10T07:14:00', 3133863, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (633, '2005-05-10T07:08:00', 3490583, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (633, '2005-05-10T07:14:06', 7612367, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (633, '2005-05-10T07:12:00', 8726129, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (633, '2005-05-10T07:10:06', 11965942, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (606, '2005-05-10T07:13:24', 10165531, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (606, '2005-05-10T07:11:48', 3853708, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (606, '2005-05-10T07:07:00', 6243424, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (606, '2005-05-10T07:15:18', 12492650, 'd'))
((633, '2005-05-10T07:02:00', 731487, 'a'), (606, '2005-05-10T07:15:24', 12707410, 'd'))
((192, '2005-05-10T06:37:00', 785724, 'a'), (192, '2005-05-10T06:38:00', 785724, 'd'))
((192, '2005-05-10T06:37:00', 785724, 'a'), (192, '2005-05-10T06:47:00', 5124796, 'd'))
((563, '2005-05-10T06:44:00', 786816, 'a'), (563, '2005-05-10T06:46:00', 786816, 'd'))
((563, '2005-05-10T06:44:00', 786816, 'a'), (563, '2005-05-10T06:56:24', 5126252, 'd'))
((563, '2005-05-10T06:44:00', 786816, 'a'), (563, '2005-05-10T06:48:48', 7062425, 'd'))
((563, '2005-05-10T06:44:00', 786816, 'a'), (563, '2005-05-10T06:50:12', 11102898, 'd'))
