from,to,between,from-to,to-between
1,1,1,1,1
85DORF,85DORF,85DORF,1,1
85HUER,85HUER,85HUER,1,1
2,2,2,1,1
85ZFH,85ZFH,85ZFH,1,1
85KL,85KL,85KL,1,1
85BSD,85BSD,85BSD,1,1
3,3,3,1,1
85BSD,85BSD,85BSD,1,1
85DTL,85DTL,85DTL,1,1
85EF,85EF,85EF,1,1
4,4,4,1,1
85OPSW,85OPSW,85OPSW,1,1
85DORF,85DORF,85DORF,1,1
5,5,5,1,1
85KLB,85KLB,85KLB,1,1
85DORF,85DORF,85DORF,1,1
6,6,6,1,1
85NGUT,85NGUT,85NGUT,1,1
85WS,85WS,85WS,1,1
85HUER,85HUER,85HUER,1,1
7,7,7,1,1
85HUER,85HUER,85HUER,1,1
85IL,85IL,85IL,1,1
85KE,85KE,85KE,1,1
8,8,8,1,1
85ZOER,85ZOER,85ZOER,1,1
85ZFH,85ZFH,85ZFH,1,1
85OP,85OP,85OP,1,1
9,9,9,1,1
85RT,85RT,85RT,1,1
85KL,85KL,85KL,1,1
10,10,10,1,1
85STET,85STET,85STET,1,1
85CHRI,85CHRI,85CHRI,1,1
85DTL,85DTL,85DTL,1,1
11,11,11,1,1
85ZOER,85ZOER,85ZOER,1,1
85CHRI,85CHRI,85CHRI,1,1
85DTL,85DTL,85DTL,1,1
12,12,12,1,1
85EF,85EF,85EF,1,1
85FET,85FET,85FET,1,1
13,13,13,1,1
85EF,85EF,85EF,1,1
85TOEM,85TOEM,85TOEM,1,1
14,14,14,1,1
85ZSEB,85ZSEB,85ZSEB,1,1
85ZWIP,85ZWIP,85ZWIP,1,1
85HRD,85HRD,85HRD,1,1
85GLB,85GLB,85GLB,1,1
85OPSW,85OPSW,85OPSW,1,1
85WS,85WS,85WS,1,1
15,15,15,1,1
85OPSW,85OPSW,85OPSW,1,1
85RT,85RT,85RT,1,1
16,16,16,1,1
85OP,85OP,85OP,1,1
85KLB,85KLB,85KLB,1,1
17,17,17,1,1
85ZSTH,85ZSTH,85ZSTH,1,1
85NGUT,85NGUT,85NGUT,1,1
18,18,18,1,1
85NGUT,85NGUT,85NGUT,1,1
85WS,85WS,85WS,1,1
85DUE,85DUE,85DUE,1,1
19,19,19,1,1
85ZSEB,85ZSEB,85ZSEB,1,1
85ZWIP,85ZWIP,85ZWIP,1,1
85HRD,85HRD,85HRD,1,1
85GLB,85GLB,85GLB,1,1
85OPSW,85OPSW,85OPSW,1,1
85WS,85WS,85WS,1,1
20,20,20,1,1
85NGUT,85NGUT,85NGUT,1,1
85WS,85WS,85WS,1,1
85DUE,85DUE,85DUE,1,1
21,21,21,1,1
85IL,85IL,85IL,1,1
85PFZ,85PFZ,85PFZ,1,1
22,22,22,1,1
85KE,85KE,85KE,1,1
85WWE,85WWE,85WWE,1,1
23,23,23,1,1
85ZAF,85ZAF,85ZAF,1,1
85ZOER,85ZOER,85ZOER,1,1
24,24,24,1,1
85ZVIA,85ZVIA,85ZVIA,1,1
85ZOER,85ZOER,85ZOER,1,1
25,25,25,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZOER,85ZOER,85ZOER,1,1
26,26,26,1,1
85TALR,85TALR,85TALR,1,1
85ZOER,85ZOER,85ZOER,1,1
27,27,27,1,1
85OP,85OP,85OP,1,1
85KLB,85KLB,85KLB,1,1
28,28,28,1,1
85ZMUS,85ZMUS,85ZMUS,1,1
85ZTB,85ZTB,85ZTB,1,1
85STET,85STET,85STET,1,1
29,29,29,1,1
85CHRI,85CHRI,85CHRI,1,1
85SCWE,85SCWE,85SCWE,1,1
30,30,30,1,1
85ZAF,85ZAF,85ZAF,1,1
85ZOER,85ZOER,85ZOER,1,1
31,31,31,1,1
85ZVIA,85ZVIA,85ZVIA,1,1
85ZOER,85ZOER,85ZOER,1,1
32,32,32,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
