type,node,,,
arrivalNode,(663, '2005-05-10T07:45:00',116314, 'a')
arrivalNode,(611, '2005-05-10T07:48:30',116678, 'a')
arrivalNode,(538, '2005-05-10T07:52:00',117042, 'a')
arrivalNode,(203, '2005-05-10T07:54:54',117770, 'a')
arrivalNode,(439, '2005-05-10T07:59:00',118134, 'a')
arrivalNode,(328, '2005-05-10T08:00:48',118498, 'a')
arrivalNode,(520, '2005-05-10T06:14:00',208408, 'a')
arrivalNode,(498, '2005-05-10T06:19:06',208772, 'a')
arrivalNode,(520, '2005-05-10T07:14:00',209864, 'a')
arrivalNode,(498, '2005-05-10T07:19:06',210228, 'a')
arrivalNode,(633, '2005-05-10T07:02:00',731487, 'a')
arrivalNode,(192, '2005-05-10T06:37:00',785724, 'a')
arrivalNode,(563, '2005-05-10T06:44:00',786816, 'a')
arrivalNode,(611, '2005-05-10T06:51:00',787544, 'a')
arrivalNode,(587, '2005-05-10T06:56:00',788272, 'a')
arrivalNode,(192, '2005-05-10T07:37:00',790092, 'a')
arrivalNode,(563, '2005-05-10T07:44:00',791184, 'a')
arrivalNode,(611, '2005-05-10T07:51:00',791912, 'a')
arrivalNode,(587, '2005-05-10T07:56:00',792640, 'a')
arrivalNode,(633, '2005-05-10T06:28:00',853794, 'a')
arrivalNode,(587, '2005-05-10T06:50:00',856342, 'a')
arrivalNode,(498, '2005-05-10T07:05:00',859254, 'a')
arrivalNode,(386, '2005-05-10T07:11:48',859982, 'a')
arrivalNode,(633, '2005-05-10T07:28:00',864350, 'a')
arrivalNode,(587, '2005-05-10T07:50:00',866898, 'a')
arrivalNode,(370, '2005-05-10T06:10:30',1040526, 'a')
arrivalNode,(498, '2005-05-10T06:15:00',1040890, 'a')
arrivalNode,(370, '2005-05-10T07:10:30',1041982, 'a')
arrivalNode,(498, '2005-05-10T07:15:00',1042346, 'a')
arrivalNode,(308, '2005-05-10T06:15:48',1076928, 'a')
arrivalNode,(498, '2005-05-10T06:26:18',1078384, 'a')
arrivalNode,(587, '2005-05-10T06:39:48',1081296, 'a')
arrivalNode,(633, '2005-05-10T06:53:18',1083116, 'a')
arrivalNode,(308, '2005-05-10T07:15:48',1086756, 'a')
arrivalNode,(498, '2005-05-10T07:26:18',1088212, 'a')
arrivalNode,(587, '2005-05-10T07:39:48',1091124, 'a')
arrivalNode,(633, '2005-05-10T07:53:18',1092944, 'a')
arrivalNode,(587, '2005-05-10T06:09:18',1248372, 'a')
arrivalNode,(633, '2005-05-10T06:23:00',1250192, 'a')
arrivalNode,(308, '2005-05-10T06:43:48',1253832, 'a')
arrivalNode,(498, '2005-05-10T06:56:24',1255288, 'a')
arrivalNode,(587, '2005-05-10T07:09:18',1258200, 'a')
arrivalNode,(633, '2005-05-10T07:23:00',1260020, 'a')
