# zone, fromZone, toZone
1,1,21.960000
2,2,457.580000
3,3,95.860000
5,5,38.200000
13,13,27.410000
14,14,94.390000
21,21,1.130000
23,23,2.350000
24,24,5.380000
26,26,2.900000
28,28,22.360000
30,30,37.060000
31,31,20.480000
32,32,1.880000
33,33,38.550000
37,37,15.640000
39,39,2.270000
43,43,0.690000
51,51,73.550000
52,52,203.870000
53,53,787.080000
54,54,231.830000
55,55,97.130000
56,56,242.340000
57,57,15.740000
58,58,74.410000
59,59,9.160000
60,60,23.130000
61,61,10.100000
62,62,548.990000
63,63,11.490000
64,64,65.350000
65,65,5.420000
66,66,622.180000
67,67,106.520000
68,68,30.220000
69,69,888.690000
70,70,2.700000
71,71,12.980000
72,72,81.060000
81,81,1.920000
82,82,4.540000
83,83,73.530000
84,84,44.470000
85,85,9.540000
86,86,135.320000
87,87,0.830000
88,88,44.050000
89,89,53.540000
90,90,113.830000
91,91,41.230000
92,92,77.840000
93,93,7.860000
94,94,39.240000
95,95,1.510000
96,96,437.550000
97,97,126.710000
98,98,0.190000
99,99,9.620000
100,100,20.350000
101,101,29.200000
102,102,4.960000
111,111,88.460000
112,112,197.170000
113,113,178.700000
115,115,265.040000
116,116,44.760000
117,117,640.500000
119,119,5.470000
121,121,1122.730000
131,131,515.370000
133,133,1210.160000
135,135,159.590000
136,136,135.780000
137,137,68.020000
139,139,93.170000
141,141,644.960000
151,151,106.340000
152,152,131.010000
153,153,238.620000
154,154,666.920000
156,156,806.940000
157,157,77.060000
160,160,98.130000
161,161,433.620000
171,171,175.120000
172,172,139.030000
173,173,40.460000
174,174,647.940000
175,175,2.500000
176,176,72.520000
177,177,387.070000
178,178,51.300000
180,180,46.670000
181,181,24.070000
182,182,9.960000
191,191,1349.520000
192,192,156.850000
193,193,152.200000
194,194,78.580000
195,195,355.290000
196,196,46.830000
197,197,73.470000
198,198,1509.920000
199,199,719.600000
200,200,100.840000
211,211,1.700000
212,212,0.800000
213,213,12.350000
214,214,6.210000
215,215,1.350000
216,216,10.760000
217,217,98.410000
218,218,4.270000
219,219,64.220000
220,220,5.850000
221,221,25.670000
222,222,1.020000
223,223,65.090000
224,224,27.810000
225,225,29.250000
226,226,3.130000
227,227,168.230000
228,228,117.670000
229,229,75.190000
231,231,152.490000
241,241,3.760000
242,242,68.790000
243,243,873.430000
244,244,41.080000
245,245,81.380000
246,246,9.800000
247,247,469.250000
248,248,21.680000
249,249,13.420000
250,250,113.360000
251,251,22.070000
2933,2933,8.360000
2938,2938,7.610000
4021,4021,1751.130000
4022,4022,10.440000
4023,4023,13.210000
4024,4024,11.960000
4026,4026,28.850000
4027,4027,85.900000
4028,4028,3.130000
4029,4029,77.490000
4030,4030,8.200000
4031,4031,11.230000
4033,4033,77.440000
4034,4034,126.120000
4035,4035,32.790000
4036,4036,23.380000
4037,4037,42.210000
4038,4038,196.120000
4039,4039,15.260000
4040,4040,474.550000
4041,4041,7.770000
4042,4042,25.560000
4043,4043,8.710000
4044,4044,165.070000
4045,4045,947.510000
4046,4046,8.200000
4048,4048,107.220000
4061,4061,9.070000
4062,4062,101.500000
4066,4066,2.510000
4067,4067,6.800000
4072,4072,28.470000
4074,4074,17.590000
4075,4075,49.850000
4077,4077,5.170000
4081,4081,25.520000
4083,4083,37.880000
4084,4084,0.420000
4093,4093,2.320000
4107,4107,4.240000
4123,4123,127.660000
4301,4301,0.340000
4302,4302,0.060000
4305,4305,26.510000
4306,4306,0.400000
4308,4308,2.160000
4312,4312,39.230000
4314,4314,0.920000
4315,4315,12.040000
4317,4317,0.420000
4318,4318,8.870000
4319,4319,1.530000
4321,4321,1.470000
4322,4322,0.640000
4571,4571,53.880000
4601,4601,11.280000
23001,23001,3718.390000
23002,23002,1355.840000
23003,23003,607.380000
23004,23004,793.340000
26101,26101,1199.400000
26102,26102,1437.620000
26103,26103,2524.000000
26104,26104,601.870000
26105,26105,492.740000
26106,26106,659.200000
26107,26107,1041.110000
26108,26108,552.920000
26109,26109,2879.470000
26110,26110,837.910000
26111,26111,3711.500000
26112,26112,722.230000
