         220134140 function calls (207474231 primitive calls) in 485.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    2.330    0.233  258.712   25.871 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:784(find_path_and_assign_pass)
       10    4.735    0.473  256.360   25.636 C:\Users\benoi\Documents\master_thesis_code\shortest_path.py:396(find_sp_for_all_ods_full_graph_scipy)
        1    0.010    0.010  189.343  189.343 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1405(create_restored_feasibility_graph)
        1    0.004    0.004  185.713  185.713 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1697(connections_homes_with_station_candidates)
        1    0.000    0.000  185.709  185.709 C:\Users\benoi\Documents\master_thesis_code\helpers.py:192(__init__)
        1  164.068  164.068  185.709  185.709 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1704(generate_edges_origin_station_destination)
       10  169.475   16.948  175.914   17.591 {scipy.sparse.csgraph._shortest_path.dijkstra}
   484292   11.424    0.000   40.242    0.000 C:\Users\benoi\Documents\master_thesis_code\shortest_path.py:483(assign_pass_and_remove_arcs_exceeded_capacity)
11161751/9770   14.544    0.000   31.753    0.003 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copy.py:128(deepcopy)
760807/15748    2.580    0.000   29.168    0.002 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copy.py:258(_reconstruct)
611237/13610    3.048    0.000   29.028    0.002 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copy.py:226(_deepcopy_dict)
 14320796    7.905    0.000   25.709    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\graph.py:441(__getitem__)
159305/3244    0.408    0.000   16.677    0.005 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copy.py:200(_deepcopy_list)
   147968    6.869    0.000   15.023    0.000 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1847(identify_departure_nodes_for_trip_at_station)
   484292   13.292    0.000   14.158    0.000 C:\Users\benoi\Documents\master_thesis_code\shortest_path.py:53(get_path)
       10    0.099    0.010   10.416    1.042 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:1185(get_solution_graph_with_copy_solution_prime)
        9    0.005    0.001    9.922    1.102 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:1042(archiving_acceptance_rejection)
 14320796    7.753    0.000    9.700    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\coreviews.py:78(__getitem__)
 14320796    5.910    0.000    8.104    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\digraph.py:322(adj)
   199584    0.442    0.000    7.590    0.000 {built-in method strptime}
