# zone,x,y, distanceToStation
1,679529.350944,236588.542860,6958.669620
2,676538.622280,237245.422219,7880.153330
3,677694.304095,241150.017823,4499.780730
5,676558.934963,239448.469304,6364.317110
13,679643.439135,241394.777122,2736.470760
14,677942.258614,243447.840098,3761.683050
21,695420.668104,271262.870146,4508.618070
23,686877.902290,268591.519663,4657.984280
24,689487.337249,267051.545957,3845.995350
26,691154.743880,269641.723626,4416.871450
28,687753.213533,271097.920516,7258.503740
30,693025.829386,272081.604043,5467.036430
31,693700.135988,268715.138979,2069.029670
32,693043.210364,270128.534029,3627.625750
33,692675.441492,273812.758413,7228.372530
37,696423.102236,274360.628401,7750.410400
39,698318.657526,271023.393862,5225.192890
43,689636.809386,270203.663586,5969.763660
51,683397.930287,261813.251967,2563.409290
52,689898.029544,255081.115710,377.609980
53,682990.464970,264727.668056,566.420810
54,688783.591675,253238.361582,513.769290
55,681820.985739,269750.407617,2761.689940
56,687307.024236,262616.688270,1560.524710
57,686307.019977,266395.694086,2453.605610
58,679602.422872,268308.098359,2482.092590
59,680597.759113,264740.199529,2115.123610
60,680143.200667,262404.760230,2228.456310
61,679713.827717,271782.736109,5189.385550
62,686461.871935,256991.251188,1052.381630
63,687032.827185,259820.359873,3934.000580
64,691283.872433,257004.375575,2726.179970
65,690079.368702,260412.158845,3229.216730
66,685500.509671,253879.826418,765.379810
67,683071.597318,274189.379053,7326.613000
68,685065.836428,265435.792972,2062.079020
69,687253.875383,252483.464331,563.873160
70,677718.362876,272211.540027,6569.371090
71,680709.849596,273493.033779,6577.845870
72,684393.179020,260075.866940,3974.345200
81,674591.503108,264662.426752,3633.320600
82,672993.174472,258356.494953,1827.194030
83,675304.495173,256925.554519,613.838640
84,674963.767877,254761.885952,1577.296090
85,672946.587006,255322.650792,1272.375910
86,676570.603508,258905.447589,761.099400
87,671739.687854,254987.606264,1473.004380
88,678100.726102,262639.847012,3084.502810
89,679887.476484,260799.707108,713.206320
90,679287.171189,258091.231921,1064.641800
91,670551.775534,261770.528866,562.268460
92,681813.692742,259196.397872,1365.450010
93,672870.078401,262457.024793,1285.053850
94,671729.355506,257505.484145,1070.529900
95,674634.709615,259065.447342,1894.945260
96,677897.906019,254854.721643,372.499550
97,682264.570424,255721.223294,811.405250
98,671841.608051,261257.563846,1197.894610
99,673870.880481,261898.504160,841.459530
100,677664.701979,265759.929504,4224.960990
101,675704.259798,261257.944427,899.908850
102,675347.529010,267749.499582,6403.837790
111,708338.045131,243971.075318,5137.332880
112,703639.753268,235963.842678,5860.403870
113,707074.203405,237057.195106,6616.406150
115,700582.181293,239923.112214,2482.939610
116,700107.532325,237344.470048,4874.175930
117,706944.278939,239918.536313,4930.220060
119,700432.454030,244284.406490,663.630540
121,703260.038748,242400.001616,851.943200
131,681865.075603,240391.836645,2627.187430
133,686767.111912,233717.417358,7842.990750
135,683516.363868,241803.260474,454.891420
136,682576.220342,237108.234659,5153.733410
137,685726.259925,236356.546605,5227.838920
139,683810.706658,239863.291340,2236.296990
141,684759.233260,238005.254777,3878.701810
151,688365.362367,239966.095622,2572.737780
152,690118.146928,239158.938509,4473.064990
153,700674.550056,234386.130217,7479.355590
154,688720.311263,241644.481485,2385.339080
156,691832.711151,237325.094421,6931.229300
157,697222.424184,236691.425132,7144.382910
160,689755.359352,243266.092675,3825.656210
161,687363.039864,244242.903145,2000.236010
171,709143.870966,247941.447967,7509.867260
172,699010.869673,249321.988898,241.223010
173,705036.435458,247089.978528,3357.683420
174,696387.035361,253243.738623,1648.345820
175,698780.942851,256569.554707,1668.165910
176,693806.064922,255558.348864,2001.855920
177,702355.106843,247057.068042,679.269590
178,701839.106781,250913.348453,3345.673360
180,700690.052055,254146.069784,2378.186220
181,707334.468826,251884.876111,6298.298630
182,704708.152062,252782.835165,3797.922200
191,688982.206579,249523.980151,1160.799620
192,694970.881992,239285.293874,6147.632750
193,690405.931451,247209.372012,2401.976190
194,693834.765453,246868.685922,560.588830
195,692305.556533,243522.101813,4203.271970
196,697134.050513,241006.465083,4107.573130
197,691913.632215,248612.276586,346.963770
198,696930.296141,245495.161733,380.521930
199,694437.883351,249836.604340,2501.218120
200,691114.429687,252080.368098,1669.794110
211,701225.181554,270492.249991,5738.771630
212,704943.015263,265292.907312,4264.994340
213,693003.639509,258959.053994,2548.945460
214,696875.454134,268818.692987,3043.788740
215,689124.878822,264741.357589,2233.460880
216,699681.091092,268293.245507,3051.882410
217,707452.074298,261045.009874,5303.896270
218,704266.465218,268960.347642,5526.660190
219,703163.760564,262214.585600,1067.031180
220,708227.395647,263839.854752,6378.008880
221,695419.136523,267306.257840,974.158280
222,706798.804531,259043.539167,5345.285040
223,692445.914554,265922.021546,2308.705030
224,690686.211273,262966.256723,622.830560
225,701974.069062,267602.306067,3140.322910
226,704669.082618,258692.148710,3676.904140
227,696941.287832,265630.945414,976.219810
228,708711.541769,254500.484540,6443.713390
229,702376.576225,264948.190593,1675.508110
231,703332.253672,256469.859275,1148.600560
241,675155.212112,243206.785346,6165.415680
242,675248.477905,245261.501420,4110.728510
243,672435.134576,250574.184903,660.606160
244,673443.644620,252663.040618,1737.077230
245,677537.179965,251552.532622,1292.425710
246,672367.295319,253796.843618,2773.594470
247,676265.412457,249841.409209,481.955420
248,677074.551308,246742.177756,3226.637120
249,675360.885048,251469.854369,1399.368710
250,674290.753121,248133.270280,1539.577430
251,674833.037942,252609.643552,2468.720890
2933,683925.680469,269934.409525,3686.288190
2938,684960.464514,271230.970662,5344.725430
4021,664163.745081,257498.812599,2078.276130
4022,668760.534176,249370.981609,4485.596190
4023,670948.022534,249003.528023,2820.474550
4024,661675.892824,256318.337959,4519.484110
4026,666699.384945,259228.348668,2381.917270
4027,664279.833278,254425.532617,3112.934350
4028,666333.947929,261558.107954,3961.598220
4029,660974.489117,259175.007793,5655.847530
4030,668328.765244,253413.873282,956.851770
4031,666958.205799,248727.133040,5696.413560
