# fromZone, toZone, min
1,26103,31.104000
1,26109,33.058000
1,26104,41.484000
2,26109,22.143000
2,26104,25.910000
2,247,29.285000
3,26109,15.051000
3,26104,18.331000
3,247,21.674000
5,26109,18.505000
5,26104,22.241000
5,26101,25.492000
13,26109,12.963000
13,26103,13.005000
13,26104,24.965000
14,26103,13.857000
14,26109,14.065000
14,26104,27.096000
21,227,19.984000
21,221,23.950000
21,23001,24.044000
23,23001,32.943000
23,221,26.703000
23,23002,40.557000
24,23002,34.895000
24,221,24.279000
24,23001,27.091000
26,221,12.746000
26,23001,17.868000
26,23002,31.818000
28,221,19.033000
28,23001,27.869000
28,23004,40.530000
30,221,6.961000
30,23001,11.808000
30,23002,19.363000
31,23001,8.402000
31,23002,18.310000
31,221,6.083000
32,23001,15.347000
32,23002,28.825000
32,221,10.157000
33,23001,28.774000
33,221,18.100000
33,227,33.000000
37,227,13.950000
37,23002,21.300000
37,23001,24.725000
39,227,10.968000
39,23001,31.894000
39,23002,33.512000
43,221,15.010000
43,23001,20.879000
43,23002,34.459000
51,62,15.183000
51,53,4.854000
51,89,15.937000
52,62,2.457000
52,52,3.000000
52,174,6.700000
53,56,6.132000
53,53,5.000000
53,224,9.622000
54,69,2.250000
54,191,3.000000
54,54,4.000000
55,53,8.977000
55,89,11.957000
55,90,14.289000
56,56,5.060000
56,224,5.431000
56,53,6.132000
57,56,14.536000
57,53,18.150000
57,89,25.676000
58,53,21.195000
58,89,22.609000
58,90,24.961000
59,53,5.000000
59,89,16.091000
59,56,20.867000
60,53,6.000000
60,89,6.000000
60,90,9.000000
61,53,30.090000
61,89,32.957000
61,90,35.033000
62,52,2.457000
62,62,5.000000
62,66,5.345000
63,62,6.707000
63,56,7.683000
63,26111,22.758000
64,62,19.664000
64,52,9.330000
64,26111,21.431000
65,56,6.157000
65,62,11.817000
65,53,23.209000
66,97,3.454000
66,26111,2.557000
66,66,5.000000
67,53,16.526000
67,89,18.947000
67,90,21.306000
68,56,6.831000
68,53,17.500000
68,62,19.504000
69,54,2.250000
69,69,2.000000
69,26111,2.622000
70,53,28.998000
70,89,32.136000
70,92,34.384000
71,53,26.931000
71,89,31.663000
71,90,33.992000
72,62,10.008000
72,53,9.974000
72,66,25.291000
81,101,9.981000
81,86,14.500000
81,90,19.250000
82,94,1.750000
82,83,1.874000
82,4048,4.750000
83,83,2.000000
83,96,3.500000
83,94,4.123000
84,83,31.250000
84,26111,26.250000
84,96,11.000000
85,83,35.250000
85,26111,30.250000
85,96,15.000000
86,101,2.217000
86,86,2.000000
86,90,2.488000
87,83,38.250000
87,26111,33.250000
87,96,18.000000
88,89,6.485000
88,90,13.509000
