# fromZone, toZone, distance
1,1,3222.000000
1,2,3300.500000
1,3,9766.738000
1,5,6581.429000
1,13,8200.107000
1,14,13775.361000
1,21,70055.735000
1,23,69971.197000
1,24,67790.291000
1,26,69652.346000
1,28,71525.890000
1,30,68260.190000
1,31,64473.779000
1,32,67793.448000
1,33,67458.202000
1,37,71852.347000
1,39,69480.907000
1,43,71769.054000
1,51,50641.540000
1,52,39878.222000
1,53,49116.490000
1,54,36404.969000
1,55,54072.447000
1,56,49645.005000
1,57,54757.055000
1,58,53392.858000
1,59,51465.736000
1,60,52056.876000
1,61,60519.653000
1,62,37764.445000
1,63,43364.416000
1,64,43085.220000
1,65,46616.769000
1,66,34644.079000
1,67,58943.894000
1,68,51015.265000
1,69,34966.276000
1,70,60151.854000
1,71,59689.772000
1,72,46184.629000
1,81,50986.203000
1,82,45454.529000
1,83,42925.301000
1,84,42713.324000
1,85,45317.473000
1,86,44645.151000
1,87,46477.192000
1,88,47386.056000
1,89,42616.583000
1,90,41304.161000
1,91,51286.117000
1,92,40406.154000
1,93,48817.601000
1,94,46584.880000
1,95,46328.694000
1,96,39573.736000
1,97,37777.764000
1,98,50938.680000
1,99,48824.511000
1,100,52323.621000
1,101,45970.522000
1,102,60752.906000
1,111,63674.276000
1,112,61999.300000
1,113,66610.181000
1,115,60050.670000
1,116,62140.646000
1,117,60907.826000
1,119,51161.644000
1,121,56031.993000
1,131,34531.872000
1,133,30977.895000
1,135,25103.226000
1,136,18188.282000
1,137,31747.716000
1,139,26618.665000
1,141,29794.427000
1,151,38151.199000
1,152,41254.677000
1,153,66804.362000
1,154,36432.082000
1,156,43796.445000
1,157,61211.387000
1,160,38697.652000
1,161,34068.153000
1,171,78879.289000
1,172,52826.091000
1,173,59616.710000
1,174,44936.131000
1,175,66936.869000
1,176,50683.830000
1,177,59188.305000
1,178,56972.337000
1,180,55882.670000
1,181,83641.516000
1,182,62474.461000
1,191,37022.926000
1,192,46076.791000
1,193,37956.554000
1,194,47629.904000
1,195,38599.904000
1,196,58362.059000
1,197,43659.718000
1,198,49195.089000
1,199,46254.193000
1,200,36440.547000
1,211,67095.231000
1,212,63799.607000
1,213,53490.561000
1,214,63104.716000
1,215,64089.772000
1,216,62259.539000
1,217,64110.822000
1,218,63470.655000
1,219,58434.478000
1,220,80212.721000
1,221,61562.698000
1,222,67442.932000
1,223,59053.062000
1,224,57444.303000
1,225,62995.244000
1,226,64790.582000
1,227,57840.162000
1,228,76710.890000
1,229,57614.667000
1,231,72978.929000
1,241,18958.969000
1,242,16163.768000
1,243,30973.454000
1,244,30762.249000
1,245,25720.585000
1,246,34761.905000
1,247,27790.966000
1,248,13318.142000
1,249,26908.988000
1,250,19018.637000
1,251,28328.931000
1,2933,64720.277000
1,2938,64591.048000
1,4021,44052.742000
1,4022,31442.213000
1,4023,32509.629000
1,4024,49082.554000
1,4026,43686.539000
1,4027,43663.355000
1,4028,51949.370000
1,4029,50751.512000
1,4030,36304.918000
1,4031,29088.407000
1,4033,40110.703000
1,4034,39370.434000
1,4035,44402.688000
1,4036,49869.476000
1,4037,42914.588000
1,4038,46290.052000
1,4039,35113.319000
1,4040,37667.929000
1,4041,38145.782000
1,4042,47846.850000
1,4043,50693.678000
1,4044,49857.596000
1,4045,44503.425000
1,4046,42838.622000
1,4048,49259.700000
1,4061,17805.710000
1,4062,23995.520000
1,4066,26562.226000
1,4067,32743.845000
1,4072,36382.829000
1,4074,20898.403000
1,4075,35530.554000
1,4077,38568.790000
1,4081,26333.899000
1,4083,26655.000000
1,4084,12807.297000
1,4093,55744.561000
1,4107,54770.098000
1,4123,52108.839000
1,4301,77209.988000
1,4302,76035.900000
1,4305,57789.861000
1,4306,66023.106000
1,4308,62384.898000
1,4312,53612.463000
1,4314,67608.583000
1,4315,70030.150000
1,4317,65467.714000
1,4318,53776.970000
1,4319,59566.271000
1,4321,60473.110000
1,4322,61587.341000
1,4571,66494.347000
1,4601,81648.181000
1,23001,56042.992000
1,23002,55501.686000
1,23003,58330.523000
1,23004,61254.535000
1,26101,27785.890000
1,26102,17727.821000
1,26103,16298.529000
1,26104,24458.852000
1,26105,27336.822000
1,26106,30968.319000
1,26107,30907.218000
1,26108,31119.317000
1,26109,19077.412000
1,26110,27584.720000
1,26111,31121.969000
1,26112,35929.007000
2,1,3300.500000
2,2,2691.000000
2,3,6531.314000
2,5,2701.885000
2,13,15026.284000
2,14,8692.039000
2,21,69335.001000
2,23,70835.593000
2,24,68472.352000
2,26,67957.856000
2,28,70700.423000
2,30,66374.505000
2,31,63383.922000
2,32,66095.919000
2,33,69173.683000
2,37,72199.361000
2,39,69823.810000
2,43,70084.595000
2,51,47450.202000
2,52,36886.000000
2,53,45510.491000
2,54,35312.168000
2,55,50770.066000
2,56,47012.490000
2,57,51889.045000
2,58,49729.687000
2,59,47926.133000
2,60,48426.129000
2,61,56752.002000
2,62,34028.322000
2,63,40899.396000
2,64,40478.710000
2,65,44555.255000
2,66,30621.438000
2,67,55553.708000
2,68,49401.094000
2,69,33325.422000
2,70,56475.834000
2,71,56010.144000
2,72,42938.727000
2,81,47436.547000
2,82,41650.000000
2,83,39110.000000
2,84,38914.000000
2,85,41524.000000
2,86,40851.000000
